order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
50,1,X33,9,,,,,,,3,6,5,1,below,"The monk is on number 3, on the row above the volley player and the prune.",X33_9_1.jpg,X33_9_2.jpg,N
50,2,X33,9,,,,,,,3,6,5,1,below,"The monk is on number 3, on the row above the volley player and the prune.",X33_9_1.jpg,X33_9_2.jpg,N
50,3,X33,9,,,,,,,3,6,5,1,below,"The monk is on number 3, on the row above the volley player and the prune.",X33_9_1.jpg,X33_9_2.jpg,N
50,4,X33,9,,,,,,,3,6,5,1,below,"The monk is on number 3, on the row above the volley player and the prune.",X33_9_1.jpg,X33_9_2.jpg,N
51,1,16,1,1,1,unambiguous,pliers,tulip,14,1,4,,5,above,The pliers above the tulip are on number 1.,E16_1_1.jpg,E16_1_2.jpg,Y
51,2,16,2,1,2,ambiguous,pliers,tulips,14,1,4,,5,above,The pliers above the tulips are on number 1.,E16_2_1.jpg,E16_2_2.jpg,Y
51,3,16,3,2,1,unambiguous,pliers,tulip,14,1,4,,5,above,The pliers above the tulip are on number 1.,E16_3_1.jpg,E16_3_2.jpg,Y
51,4,16,4,2,2,ambiguous,pliers,tulips,14,1,4,,5,above,The pliers above the tulips are on number 1.,E16_4_1.jpg,E16_4_2.jpg,Y
52,1,X34,9,,,,,,,2,4,,6,below,"The harp is on number 4, on the row below the pigeon.",X34_9_1.jpg,X34_9_2.jpg,N
52,2,X34,9,,,,,,,2,4,,6,below,"The harp is on number 4, on the row below the pigeon.",X34_9_1.jpg,X34_9_2.jpg,N
